Title,Content,Date,keywords
Do the Work is out today,"Steve Pressfield's new bookis available today.
It's a prequel, sequel and manifesto-companion to one of the best books I have ever read,The War of Art. This new one is the one you can hand out to your co-workers and your students and even your boss. I'm thrilled that Steve entrusted this book to my new venture, the Domino Project.
Of course,subscribersto the Domino blog already knew about the new book and got it forfreein digital form. In fact, it's already a bestseller. Not too late to join in…
No matter how you get it, I hope you'll read it, absorb it and share it.
For thoughts about the book and exclusive interviews, check out these blog posts:Elizabeth Marshall, along withCommunicatrix,Pam Slim,Chris Guillebeau,Adam Baker,Danielle LaPorte,David Garland,Barry MoltzandMario Schulzke.","April 20, 2011","Steve Pressfield, Do the Work, Domino Project"
Get better at buying,"There's incessant pressure on B2B sellers to get better at it. The boss wants the sales force to figure out how to approach, educate, close and support big companies and get them to buy their products and services.
But what about the big companies (not to mention the smaller ones) that are doing the buying? Ruth Stevens reports that the typical company with more than 1,000 employees has, on average, 21 different people involved in each sale of over $25,000.
Having made sales (when I was younger and more foolish) to ten of the thirty biggest companies in the country, I can testify that 21 might be an understatement. The typical big company's org chart is a mystery, the process is a mystery and there never seems to be an end to the roster of meetings and people. It's almost as though these companies don't want to buyanything.
Of course, the salesperson isn't the enemy, and buying from them isn't charity. The transaction happens because it benefits both sides, yet the byzantine maze, lack of information and endless circle is a real barrier to success for both sides.
First, this is screamingly inefficient. Second, it drives away the great opportunities, leaving the companies with no one but the sales-focused, uber-patient companies willing to put up with 21 different people and a million meetings.
If you want to increase productivity and discover new opportunities, you're going to need better vendors. One way to do that is to streamline your buying process and let the folks selling to you know how it works. They're not the enemy. In fact, they're your best source for off-the-shelf improvements and innovation you can start using tomorrow.
Whoever buys the best, wins.
Your purchasing department shouldn't be a backwater… it ought to be an engine of innovation for the rest of the organization.
I'd start by reaching out to companies that might be able to help your company. Give them an org chart. Give them an overview of the best way to sell to you. Issue a newsletter outlining regular news about successful sales and how they were made. Reward your employees when they help a new vendor make a sale that really benefits you. Hassle your employees if they hassle or lie to your vendors.
If a vendor asks, ""are you serious about buying from us,"" the answer should either be, ""yes,"" or perhaps, ""no, thank you."" But we're all too busy for power games.",,"B2B buying, sales efficiency, vendor relationship"
Bringing interesting businesses online,"Today, Shopify is launching their annualnew online business contest. I’m pleased that they’re making a very significant donation to theAcumen Fundto kick it off, as well as offering everyone who enters a copy ofPoke the Box.
[UPDATE! I got the launch date wrong, I'm sorry. You'll have to hold your horses re entering, because the contest isn't actually live yet. I'll repost with details next week when it is. Sorry for the hassle.]
I have no idea if you should be running an online store, it’s certainly not for everyone… but I do know that the only way to grow is to launch, to initiate and to make a ruckus. Good luck","April 19, 2011","Shopify, online business contest, Acumen Fund"
Economies of small,"Economies of scale are well understood. Bigger factories are more efficient, bigger distribution networks are more efficient, bigger ad campaigns can be more efficient. It's often hard to defeat a major competitor, particularly if the market is looking for security and the status quo.
But what about the economies of small? Is being bigger an intrinsic benefit in and of itself?
If your goal is to make a profit, it's entirely possible that less overhead and a more focused product line will increase it.
If your goal is to make more art, it's entirely possible the ridding yourself of obligations and scale will help you do that.
If your goal is to have more fun, it's certainly likely that avoiding the high stakes of more debt, more financing and more stuff will help with that.
I think we embraced scale as a goal when the economies of that scale were so obvious that we didn't even need to mention them. Now that it's so much easier to produce a product in the small and market a product in the small, and now that it's so beneficial to offer a service to just a few, with focus and attention, perhaps we need to rethink the very goal of scale.
Don't be small because you can't figure out how to get big. Consider being small because it might be better.",,"economies of small, profitability, focus"
The internet as envy amplifier,"Used to be that the only Jones you needed to worry about was the one who lived next door.
Now, if you choose, it's easy to find someone taller, richer, more successful, better liked, with more followers, online friends, connections and endorsements. And certainly it will be someone less deserving than you.
George Carlin liked to talk about the person (there's always someone) who is worse off than you. The web allows you, with not much effort, to find the person who is better off.
Like many authors, I was briefly addicted to the Amazon bestseller list. Every hour, you can check how you're doing. The problem (other than the insane non-productiveness of it) is how tricky ""you"" and ""doing"" are in that sentence. A number isn't who you are, and your status compared to other people isn't how you're doing.
I'm not sure the goal needs to be to have more turtles under you than anyone else has. Some things are better left unsearched.","April 18, 2011","envy, comparison, online validation"
The four horsemen of media–here comes tiny media,"The first is when you talk about yourself. Directly to people who care to hear you out.
The second is when you pay someone to carry your message. Media for hire, we call it advertising.
The third is when you cajole the 'editorial' side to talk about you, with authority. Publicity is often worth more than advertising, but it's pesky in that it doesn't perform on demand.
The fourth, the fourth is all the rage right now. That's when unanointed kings of tiny media, when bloggers and tweeters and others talk about you.
Why do we persist in believing that these four have much in common? They don't. Being confused about how to classify them is expensive, or worse.
You know you're in trouble if someone on your team says anything like, ""But how do we do this quickly? And at scale? Is there a way interns can churn through names? We have money to spend, hurry!""
There are some that would be delighted if PR and social media would just own up and start playing by the rules of advertising. In other words, you ought to be able tobuythis sort of buzz. It's more efficient, more convenient and more predictable.
Of course, it doesn't work that way. Buying your way into the fourth horseman doesn't work. Professionalizing it doesn't work so well either. What works is making something worth talking about.
As it should be.
If you're hoping that this now important form of media is going to sit there and promote your average stuff for average people made in bulk but pretty cheap product merely because you're used to paying media companies to run ads… I think you're wasting a lot of time and money.
This goes deeper than that. You'll need to take that money and change the product and the service instead.","April 17, 2011","media, publicity, content creation"
The agenda,"The job of the CEO isn't to check things off the agenda. Her job is to set the agenda, to figure out what's next.
Now that more and more of us are supposed to be CEO of our own lives and careers, it might be time to rethink who's setting your agenda.","April 16, 2011","CEO, agenda, leadership"
Buying an education or buying a brand?,"It'sreportedthat student debt in the USA is approaching a trillion dollars,five timeswhat it was ten years ago.
Are those in debt buying more education or are they seeking better branding in the form of coveted diplomas?
Does a $40,000 a year education that comes with an elite degree deliver ten times the education of a cheaper but no less rigorous self-generated approach assembled from less famous institutions and free or inexpensive resources?
If not, then the money is actually being spent on the value of the degree, on the doors it will open and the jobs it will snag. If this marketing strategy works big, it pays for itself in no time.
A marketing tactic might move the dial, but that doesn't mean it's always worth the money.
The question is whether a trillion dollars is the right amount for individuals to spend marketing themselves. What would happen if people spent it building up a work history instead? On becoming smarter, more flexible, more self-sufficient and yes, able to take more risk because they owe less money…
There's no doubt that we need smarter and more motivated people in our organizations. I'm not sure we need them to be better labeled or more accredited.","April 15, 2011","Education, Student Debt, Branding"
Why you might choose to be in favor of transparency,"Thousands of doctors have signed up for a service that, among other things, they can use to try to prohibit patients from posting reviews. You can read a bit about ithere.
In Iowa, in a surprisingly similar move, the state government is moving ahead with a law that will make it acrimeto take or possess videotapes of factory farming that might harm the commercial interests of the farmer.
In both cases, an organization is trying to maintain power by hiding information from the public. Can you imagine being arrested for possession of a photo of a pig?
It’s easy to argue that from the public’s point of view, laws like this are a bad idea. The public certainly benefits from the outing of bad doctors and from the improved hygeine of factory farms. In that sense, it’s unethical for doctors and legislators to subvert their responsibilities by ordering the unempowered to shut up.
I think it’s interesting to think about from the doc’s point of view (and the chicken farmer), as well. The temptation is for those in charge to defend the status quo by fighting transparency. This ignores a simple truth:
When book reviews are posted, book sales go up.
Yes, the argument of fairness matters. The patients have no choice, the chickens certainly have no choice and the consumers don’t have much choice either. There’s an argument that goes beyond choice, though… it turns out that transparency increases profitability.
If every chicken coop has a video camera in it, quality will obviously go up. Confidence in the product will go up. Employee behavior will improve as well, because it’s hard to torture a chicken if you know you’re going to get caught.
But wait, you might argue… if we have to take better care of the chickens, our costs will go up as well.
Here’s the thing: when consumers get used to transparency, they’re also more interested in the quality of what you sell, and are more likely to willingly pay extra. They’ll certainly cross the street to buy from an ethical provider. And once people start moving in that direction, the cost of being an unethical provider gets so high that you either change your ways or fade away.
Chicken farms don’t need a law prohibiting possession of images. They need a producer who will make a ton of great (true) chicken movies. Inundate us with images of cleanliness and quality instead of blacking us out. Don’t race to the bottom (you might win). Instead, force your competition to race you to the top instead.
[Aside: the same objection happened when we started regulating hygeine in restaurant kitchens. Yes, it got more expensive to clean the pots and kill the rodents, but it was okay, because post-Duncan Hines, demand for quality went up enough to more than pay for it.]
The same argument holds true for doctors. Once information about good doctors becomes widespread, patients will be more willing to seek out those doctors, rewarding the ones who consistently take better care of their patients. The entire profession doesn’t suffer (we’ll still go to a doctor) merely the careless doctors will.
One more: A leading politician in India isarguingthat bribery (in certain transactions) ought to be legalized. Why? Because if the briber feels free to rat out the bureaucrat, bribery goes down.
In all three cases, sunlight is an antiseptic and the marketplace rewards those that behave–and the entire market grows when the standards increase.
Consumers and those that want their admiration ought to reward those in favor of transparency (what a great opportunity for McDonald’s). And the antidote for speech a provider doesn’t like isn’t a contract or a law. The antidote to speech you don’t like is more speech.","April 14, 2011","Transparency, Ethics, Accountability"
Turning the habit of self-criticism upside down,"Perhaps this sounds familiar:
When it's time to write a resume or talk to a boss or discuss a project glitch with colleagues, the instinct is to spin, to avoid a little responsibility, to sit quietly. Put a best face forward, don't set yourself up.
When reviewing just about anything you've done with yourself (in your head), the instinct is to be brutal, relentlessly critical and filled with doubt and self-blame.
What if they were reversed?
What if the habit of the project review meeting was for each person to put theirworstfoot forward, to identify every item that they learned from? What if we took responsibility as a way of getting more authority next time?
And the flip side–when talking to ourselves, what if we were a little more supportive?
It's not an easy habit, but it works.",,"self-criticism, responsibility, self-support"
